EAN,QUANTIDADE
9000005132516,20
9000005132639,11
9000005132660,5
9000005132677,5
9000005132684,7
9000005132691,7
9000005132783,17
9000005132790,2
9000005132806,3
9000005132868,8
9000005132882,6
9000005132899,9
9000005132943,5
9000005133025,10
9000005133049,18
9000005133087,1
9000005133100,2
9000005133117,2
9000005133148,8
9000005133155,27
9000005133162,6
9000005133179,16
9000005133186,7
9000005133193,13
9000005133292,26
9000005133308,8
9000005133315,2
9000005133322,2
9000005133339,6
9000005133346,3
9000005133407,6
9000005133452,1
9000005133469,1
9000005133476,34
9000005133483,16
9000005133490,20
9000005133506,4
9000005133612,7
9000005133629,7
9000005133636,9
9000005133643,12
9000005133667,12
9000005133704,6
9000005133711,21
9000005133735,4
9000005133742,7
9000005133766,9
9000005133773,10
9000005133797,14
9000005133803,12
9000005133957,5
9000005133964,5
9000005133995,10
9000005134008,1
9000005134060,4
9000005134077,18
9000005134084,40
9000005134091,7
9000005134107,10
9000005134114,1
9000005134145,1
9000005134220,15
9000005134237,4
9000005134244,9
9000005134268,1
9000005134275,13
9000005134282,14
9000005134299,14
9000005134312,1
9000005134329,11
9000005134336,14
9000005134343,13
9000005134404,9
9000005134435,24
9000005134442,20
9000005134459,19
9000005134503,9
9000005134510,2
9000005134657,1
9000005134671,5
9000005134794,2
9000005134817,7
9000005134824,8
9000005134848,3
9000005134886,5
9000005135043,15
9000005135050,6
9000005135067,11
9000005135074,10
9000005135494,21
9000005135500,24
9000005135517,16
9000005135524,9
9000005135753,63
9000005135760,85
9000005135777,54
9000005135784,19
9000005135838,19
9000005135845,27
9000005135852,4
9000005135913,19
9000005135920,38
9000005135937,20
9000005135944,5
9000005135999,18
9000005136002,9
9000005136125,6
9000005136132,8
9000005136149,6
9000005136156,9
9000005136439,3
9000005136712,16
9000005136729,5
