EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005105732,537234,236000330,QUIMONO PLANO LISO BORDADO,VERDE,GG,1,08 03 02
9000005105688,537235,236000330,QUIMONO PLANO LISO BORDADO,VINHO,P,14,08 03 02
9000005105725,537237,236000330,QUIMONO PLANO LISO BORDADO,VINHO,G,1,08 03 02
9000005105749,537238,236000330,QUIMONO PLANO LISO BORDADO,VINHO,GG,1,08 03 02
9000005133469,539699,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,CARAMELO,36,1,08 02 05
9000005133476,539700,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,CARAMELO,38,34,08 02 05
9000005133483,539701,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,CARAMELO,40,16,08 02 05
9000005133490,539702,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,CARAMELO,42,20,08 02 05
9000005133506,539703,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,CARAMELO,44,4,08 02 05
9000005086802,535601,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,VERMELHO,38,16,08 02 05
9000005086819,535602,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,VERMELHO,40,15,08 02 05
9000005086826,535603,235001226,SHORT PLANO LISO COM BOLSOS FRONTAIS,VERMELHO,42,11,08 02 05
9000005066903,534090,231003959,BLUSA PLANA CAVA ESTAMPA SAN BASILIO,ESTAMPADO,P,27,08 02 04
9000005066910,534091,231003959,BLUSA PLANA CAVA ESTAMPA SAN BASILIO,ESTAMPADO,M,36,08 02 04
9000005066927,534092,231003959,BLUSA PLANA CAVA ESTAMPA SAN BASILIO,ESTAMPADO,G,18,08 02 04
9000005066934,534093,231003959,BLUSA PLANA CAVA ESTAMPA SAN BASILIO,ESTAMPADO,GG,6,08 02 04
9000005162896,541821,231004075,T-SHIRT PLANA LISA C/ DOBRÃO MANGA E ELÁSTICO,VINHO,GG,4,08 02 04
9000005048275,532586,213000828,CALÇA JEANS SKINNY COM PALA FRENTE,JEANS,36,1,08 02 03
9000005048282,532587,213000828,CALÇA JEANS SKINNY COM PALA FRENTE,JEANS,38,33,08 02 03
9000005048299,532588,213000828,CALÇA JEANS SKINNY COM PALA FRENTE,JEANS,40,17,08 02 03
9000005048305,532589,213000828,CALÇA JEANS SKINNY COM PALA FRENTE,JEANS,42,15,08 02 03
9000005048572,532601,215001035,SHORT JEANS BRILHO LATERAL,JEANS,36,13,08 02 02
9000005048589,532602,215001035,SHORT JEANS BRILHO LATERAL,JEANS,38,57,08 02 02
